Source Weight Destination Color
National Vulnerability Database [226061] CVE Count #F88E8E
CVE Count [5583] 10 #FF7A7B
CVE Count [26173] 9-9.9 #FEAB77
CVE Count [19308] 8-8.9 #FDC272
CVE Count [58399] 7-7.9 #FEE588
CVE Count [32960] 6-6.9 #FEFA7F
CVE Count [37618] 5-5.9 #EDFEAE
CVE Count [32328] 0-4.9 #C4F188
CVE Count [13692] CVSS unscored #CCCCCC
10 [7] 97.5% #E93F3B
10 [635] 77.8% #FFD68C
10 [644] 17.9% #D9AC5E
10 [2368] 1% #FFFF8B
10 [1774] .17% #FFFF8B
10 [147] .061% #EDFEB0
10 [8] .042% #C4F188
9-9.9 [27] 97.5% #E93F3B
9-9.9 [1659] 77.8% #FFD68C
9-9.9 [1592] 17.9% #D9AC5E
9-9.9 [5190] 1% #FFFF8B
9-9.9 [11407] .17% #FFFF8B
9-9.9 [5994] .061% #EDFEB0
9-9.9 [304] .042% #C4F188
8-8.9 [5] 97.5% #E93F3B
8-8.9 [279] 77.8% #FFD68C
8-8.9 [357] 17.9% #D9AC5E
8-8.9 [2530] 1% #FFFF8B
8-8.9 [6688] .17% #FFFF8B
8-8.9 [7105] .061% #EDFEB0
8-8.9 [2344] .042% #C4F188
7-7.9 [11] 97.5% #E93F3B
7-7.9 [980] 77.8% #FFD68C
7-7.9 [1301] 17.9% #D9AC5E
7-7.9 [8715] 1% #FFFF8B
7-7.9 [14044] .17% #FFFF8B
7-7.9 [19085] .061% #EDFEB0
7-7.9 [14262] .042% #C4F188
7-7.9 [1] EPSS unscored #CCCCCC
6-6.9 [2] 97.5% #E93F3B
6-6.9 [252] 77.8% #FFD68C
6-6.9 [400] 17.9% #D9AC5E
6-6.9 [3416] 1% #FFFF8B
6-6.9 [7118] .17% #FFFF8B
6-6.9 [14020] .061% #EDFEB0
6-6.9 [7752] .042% #C4F188
5-5.9 [3] 97.5% #E93F3B
5-5.9 [427] 77.8% #FFD68C
5-5.9 [470] 17.9% #D9AC5E
5-5.9 [5154] 1% #FFFF8B
5-5.9 [9422] .17% #FFFF8B
5-5.9 [8613] .061% #EDFEB0
5-5.9 [13529] .042% #C4F188
0-4.9 [4] 97.5% #E93F3B
0-4.9 [293] 77.8% #FFD68C
0-4.9 [202] 17.9% #D9AC5E
0-4.9 [1821] 1% #FFFF8B
0-4.9 [9932] .17% #FFFF8B
0-4.9 [8205] .061% #EDFEB0
0-4.9 [11871] .042% #C4F188
CVSS unscored [2] .17% #FFFF8B
CVSS unscored [6] .061% #EDFEB0
CVSS unscored [887] .042% #C4F188
CVSS unscored [12797] EPSS unscored #CCCCCC


// Node color:
:National Vulnerability Database #ED0401
:CVE Count #F88E8E
:10 #FF0D00
:9-9.9 #FFA500
:8-8.9 #FDA935
:7-7.9 #FDDB56
:6-6.9 #FDF54A
:5-5.9 #E1FD82
:0-4.9 #ACEA57
:97.5% #FF0D00
:77.8% #FFA500
:17.9% #FDA935
:1% #FDDB56
:.17% #FDF54A
:.061% #E1FD82
:.042% #ACEA57
:CVSS unscored #A4A4A4
:EPSS unscored #A4A4A4
